,Neighbourhood,Sex Offences,Assaults,Robbery,B&E,Theft of MV,Theft from Auto,Theft >$5K,Arson,Mischief,Offensive Weapons,date
299,GRAND TOTAL,41,371,51,190,50,472,1076,19,486,52,2023-12-01
300,Arbutus Ridge,0,0,1,2,1,9,7,0,3,0,2024-01-01
301,Central Business District,10,128,17,42,9,169,269,9,155,31,2024-01-01
302,Dunbar - Southlands,0,1,1,1,0,9,3,0,0,0,2024-01-01
303,Fairview,1,10,2,8,4,25,29,0,33,2,2024-01-01
304,Grandview - Woodland,3,29,5,20,0,27,33,0,30,3,2024-01-01
305,Hastings - Sunrise,1,8,0,8,2,23,6,0,20,0,2024-01-01
306,Kensington - Cedar Cottage,3,15,4,9,2,42,31,0,18,4,2024-01-01
307,Kerrisdale,0,0,0,4,0,3,2,0,3,0,2024-01-01
308,Killarney,0,8,0,7,5,8,12,0,7,1,2024-01-01
309,Kitsilano,0,4,2,11,2,20,38,0,10,2,2024-01-01
310,Marpole,2,4,2,13,1,5,22,2,41,0,2024-01-01
311,Mount Pleasant,5,12,2,13,6,24,69,0,27,2,2024-01-01
312,Musqueam,0,3,0,0,0,0,0,0,0,0,2024-01-01
313,Oakridge,0,0,0,3,0,6,5,0,3,0,2024-01-01
314,Renfrew - Collingwood,3,19,1,17,3,24,97,0,27,2,2024-01-01
315,Riley Park,1,1,0,5,3,8,5,0,5,1,2024-01-01
316,Shaughnessy,0,0,0,14,0,1,3,0,4,0,2024-01-01
317,South Cambie,1,1,0,6,0,6,6,0,4,1,2024-01-01
318,Stanley Park,0,0,0,1,0,0,1,0,0,0,2024-01-01
319,Strathcona,2,46,7,7,7,18,44,2,33,7,2024-01-01
320,Sunset,0,4,0,2,4,12,56,0,6,1,2024-01-01
321,Victoria - Fraserview,1,2,0,5,2,12,14,0,10,2,2024-01-01
322,West End,8,38,2,9,4,30,66,0,29,4,2024-01-01
323,West Point Grey,0,0,0,4,0,10,3,0,3,0,2024-01-01
324,GRAND TOTAL,41,333,46,211,55,491,821,13,471,63,2024-01-01
325,Arbutus Ridge,0,1,0,3,1,5,10,0,1,0,2024-02-01
326,Central Business District,22,137,15,41,6,173,336,12,168,20,2024-02-01
327,Dunbar - Southlands,1,2,0,3,0,7,7,0,4,0,2024-02-01
328,Fairview,1,9,1,11,4,15,62,2,15,1,2024-02-01
329,Grandview - Woodland,3,18,3,10,2,19,28,1,26,1,2024-02-01
330,Hastings - Sunrise,2,16,0,13,1,18,12,0,16,0,2024-02-01
331,Kensington - Cedar Cottage,4,10,0,12,2,19,35,1,20,6,2024-02-01
332,Kerrisdale,1,2,1,3,2,2,4,1,2,0,2024-02-01
333,Killarney,1,4,1,5,2,4,12,1,7,1,2024-02-01
334,Kitsilano,0,2,1,2,3,11,29,0,8,0,2024-02-01
335,Marpole,2,9,0,13,4,16,22,4,9,0,2024-02-01
336,Mount Pleasant,0,14,2,5,1,23,55,0,24,2,2024-02-01
337,Musqueam,0,1,0,0,0,0,0,0,0,0,2024-02-01
338,Oakridge,0,2,1,2,0,1,4,0,0,0,2024-02-01
339,Renfrew - Collingwood,3,10,3,19,4,24,109,2,10,3,2024-02-01
340,Riley Park,0,4,0,6,0,15,13,0,6,2,2024-02-01
341,Shaughnessy,0,1,0,4,0,2,5,0,8,0,2024-02-01
342,South Cambie,0,3,1,4,0,4,14,0,1,1,2024-02-01
343,Stanley Park,0,0,0,0,0,1,0,0,3,0,2024-02-01
344,Strathcona,1,45,7,14,1,17,44,1,31,5,2024-02-01
345,Sunset,2,10,0,1,5,9,66,5,4,0,2024-02-01
346,Victoria - Fraserview,1,3,0,5,4,11,13,0,5,0,2024-02-01
347,West End,3,26,5,20,5,40,66,0,22,3,2024-02-01
348,West Point Grey,0,2,0,3,0,7,6,0,7,0,2024-02-01
349,GRAND TOTAL,47,331,41,199,47,443,952,30,397,45,2024-02-01
350,Arbutus Ridge,0,1,0,2,1,6,8,0,4,0,2024-03-01
351,Central Business District,19,134,30,43,6,173,351,5,182,31,2024-03-01
352,Dunbar - Southlands,0,2,0,1,1,13,10,0,7,0,2024-03-01
353,Fairview,2,11,0,19,2,10,73,1,11,1,2024-03-01
354,Grandview - Woodland,1,24,4,13,6,15,29,3,20,3,2024-03-01
355,Hastings - Sunrise,5,9,1,10,3,18,19,1,15,2,2024-03-01
356,Kensington - Cedar Cottage,1,11,2,10,5,25,35,2,16,1,2024-03-01
357,Kerrisdale,2,2,1,4,0,9,7,0,4,0,2024-03-01
358,Killarney,0,6,0,4,1,9,15,0,6,1,2024-03-01
359,Kitsilano,1,4,1,7,4,21,37,1,5,0,2024-03-01
360,Marpole,1,6,0,9,2,17,34,2,5,1,2024-03-01
361,Mount Pleasant,2,20,3,9,3,26,81,1,24,2,2024-03-01
362,Musqueam,0,2,0,0,0,0,2,0,0,0,2024-03-01
363,Oakridge,0,2,1,8,1,7,6,0,5,1,2024-03-01
364,Renfrew - Collingwood,4,8,3,10,7,19,91,0,21,2,2024-03-01
365,Riley Park,2,4,1,2,2,3,12,0,6,0,2024-03-01
366,Shaughnessy,0,1,0,2,1,7,3,0,10,0,2024-03-01
367,South Cambie,0,3,1,4,0,5,21,0,3,3,2024-03-01
368,Stanley Park,2,3,0,0,0,1,3,0,3,0,2024-03-01
369,Strathcona,1,53,6,16,1,15,51,7,27,9,2024-03-01
370,Sunset,1,8,0,4,4,19,79,1,11,1,2024-03-01
371,Victoria - Fraserview,2,5,0,0,1,12,21,0,5,2,2024-03-01
372,West End,3,24,4,7,3,43,67,2,23,1,2024-03-01
373,West Point Grey,0,3,0,0,2,3,5,0,8,0,2024-03-01
374,GRAND TOTAL,49,346,58,184,56,476,1060,26,421,61,2024-03-01
375,Arbutus Ridge,1,2,0,2,0,14,6,0,1,0,2024-04-01
376,Central Business District,25,153,28,35,6,157,321,4,184,28,2024-04-01
377,Dunbar - Southlands,1,0,0,2,1,15,8,0,3,0,2024-04-01
378,Fairview,1,10,0,14,1,17,61,0,16,0,2024-04-01
379,Grandview - Woodland,5,23,3,8,8,25,24,1,25,0,2024-04-01
380,Hastings - Sunrise,3,7,0,9,5,15,22,0,8,1,2024-04-01
381,Kensington - Cedar Cottage,2,11,0,6,10,28,39,0,14,2,2024-04-01
382,Kerrisdale,1,1,0,7,1,15,6,0,4,0,2024-04-01
383,Killarney,0,2,0,5,1,5,12,0,8,1,2024-04-01
384,Kitsilano,1,8,0,7,4,32,49,0,10,0,2024-04-01
385,Marpole,2,2,2,10,2,13,20,0,5,0,2024-04-01
386,Mount Pleasant,3,14,2,18,1,27,64,1,15,4,2024-04-01
387,Musqueam,2,1,0,0,0,0,0,0,0,0,2024-04-01
388,Oakridge,0,2,0,1,0,5,8,0,1,0,2024-04-01
389,Renfrew - Collingwood,2,18,4,12,3,35,115,0,16,1,2024-04-01
390,Riley Park,3,5,0,5,2,16,14,0,7,0,2024-04-01
391,Shaughnessy,1,0,0,4,0,11,8,0,7,0,2024-04-01
392,South Cambie,1,4,0,4,0,2,6,0,4,2,2024-04-01
393,Stanley Park,0,3,0,0,0,1,4,0,0,0,2024-04-01
394,Strathcona,2,48,4,17,4,24,56,4,25,15,2024-04-01
395,Sunset,3,11,1,4,8,18,58,0,13,2,2024-04-01
396,Victoria - Fraserview,0,6,0,3,3,12,16,0,9,1,2024-04-01
397,West End,4,22,5,13,2,37,87,0,20,1,2024-04-01
398,West Point Grey,0,0,0,2,0,6,5,0,3,0,2024-04-01
399,GRAND TOTAL,63,353,49,188,62,530,1009,10,398,58,2024-04-01
400,Arbutus Ridge,0,2,0,1,2,6,12,0,3,0,2024-05-01
401,Central Business District,15,167,18,31,12,166,424,3,189,47,2024-05-01
402,Dunbar - Southlands,0,3,0,0,0,4,7,0,3,0,2024-05-01
403,Fairview,1,15,1,9,4,28,73,0,18,1,2024-05-01
404,Grandview - Woodland,1,25,5,11,7,15,33,2,23,5,2024-05-01
405,Hastings - Sunrise,0,12,0,5,4,11,20,0,13,0,2024-05-01
406,Kensington - Cedar Cottage,3,11,4,10,5,22,61,2,17,4,2024-05-01
407,Kerrisdale,0,3,0,3,1,5,6,1,5,0,2024-05-01
408,Killarney,2,6,0,2,2,9,15,0,5,1,2024-05-01
409,Kitsilano,0,9,0,9,1,24,57,0,13,1,2024-05-01
410,Marpole,2,14,1,7,2,8,19,0,5,0,2024-05-01
411,Mount Pleasant,2,25,2,9,1,24,66,1,15,5,2024-05-01
412,Musqueam,1,1,0,0,0,0,1,0,0,0,2024-05-01
413,Oakridge,0,2,0,7,1,5,8,0,7,1,2024-05-01
414,Renfrew - Collingwood,4,12,0,19,9,19,127,1,19,1,2024-05-01
415,Riley Park,0,4,0,4,1,13,15,1,13,0,2024-05-01
416,Shaughnessy,1,1,0,4,2,7,5,0,1,0,2024-05-01
417,South Cambie,0,2,0,2,2,4,14,1,3,0,2024-05-01
418,Stanley Park,2,3,0,2,0,6,3,0,0,0,2024-05-01
419,Strathcona,5,67,9,17,4,39,51,4,36,22,2024-05-01
420,Sunset,3,3,0,7,6,15,69,1,16,0,2024-05-01
421,Victoria - Fraserview,1,4,1,0,1,15,22,1,7,2,2024-05-01
422,West End,2,30,2,9,3,48,93,4,38,5,2024-05-01
423,West Point Grey,1,1,0,2,0,14,6,0,4,0,2024-05-01
424,GRAND TOTAL,46,422,43,170,70,507,1207,22,453,95,2024-05-01
425,Arbutus Ridge,1,3,1,0,0,5,8,0,2,0,2024-06-01
426,Central Business District,12,185,25,28,6,184,353,5,168,44,2024-06-01
427,Dunbar - Southlands,0,4,1,3,0,8,4,0,2,0,2024-06-01
428,Fairview,4,8,0,8,3,18,57,0,14,2,2024-06-01
429,Grandview - Woodland,3,27,7,7,4,23,29,1,11,4,2024-06-01
430,Hastings - Sunrise,1,8,2,7,1,11,17,4,12,2,2024-06-01
431,Kensington - Cedar Cottage,2,7,2,8,6,29,43,3,22,4,2024-06-01
432,Kerrisdale,0,3,0,4,1,3,11,0,4,0,2024-06-01
433,Killarney,0,2,0,5,3,11,13,1,7,1,2024-06-01
434,Kitsilano,3,9,0,3,1,20,47,0,7,0,2024-06-01
435,Marpole,1,10,1,7,1,11,34,0,9,0,2024-06-01
436,Mount Pleasant,3,21,4,8,2,16,79,0,42,1,2024-06-01
437,Musqueam,0,1,0,0,0,0,0,0,0,0,2024-06-01
438,Oakridge,0,1,0,6,0,5,11,0,2,0,2024-06-01
439,Renfrew - Collingwood,1,8,1,10,5,23,109,0,13,1,2024-06-01
440,Riley Park,0,2,0,2,2,12,12,1,12,1,2024-06-01
441,Shaughnessy,0,3,1,2,0,4,5,0,1,0,2024-06-01
442,South Cambie,0,2,0,2,1,7,14,0,3,0,2024-06-01
443,Stanley Park,0,2,0,0,1,12,10,0,3,0,2024-06-01
444,Strathcona,12,52,11,16,4,31,38,4,44,13,2024-06-01
445,Sunset,1,12,1,3,8,21,61,0,7,0,2024-06-01
446,Victoria - Fraserview,4,2,1,6,4,17,14,0,6,1,2024-06-01
447,West End,4,25,3,18,0,34,94,1,18,6,2024-06-01
448,West Point Grey,1,3,0,2,2,9,11,0,2,0,2024-06-01
449,GRAND TOTAL,53,400,61,155,55,514,1074,20,411,80,2024-06-01
450,Arbutus Ridge,0,1,0,2,0,1,11,0,3,0,2024-07-01
451,Central Business District,18,181,22,39,10,196,432,9,179,59,2024-07-01
452,Dunbar - Southlands,0,1,0,0,1,3,9,0,2,0,2024-07-01
453,Fairview,1,12,1,7,1,25,70,1,25,0,2024-07-01
454,Grandview - Woodland,1,20,7,5,7,21,31,1,16,2,2024-07-01
455,Hastings - Sunrise,2,11,0,8,2,18,14,0,11,2,2024-07-01
456,Kensington - Cedar Cottage,0,16,4,8,4,19,40,2,20,2,2024-07-01
457,Kerrisdale,0,4,0,7,0,8,8,0,9,0,2024-07-01
458,Killarney,1,10,0,1,2,13,10,0,6,2,2024-07-01
459,Kitsilano,2,5,1,4,0,9,73,0,8,3,2024-07-01
460,Marpole,1,2,1,12,0,10,26,0,10,1,2024-07-01
461,Mount Pleasant,0,21,0,16,4,26,78,1,23,2,2024-07-01
462,Musqueam,0,0,0,0,0,0,0,0,0,1,2024-07-01
463,Oakridge,0,3,0,4,1,4,8,0,2,0,2024-07-01
464,Renfrew - Collingwood,3,14,1,10,2,14,110,3,14,3,2024-07-01
465,Riley Park,2,3,0,5,1,8,25,0,6,0,2024-07-01
466,Shaughnessy,0,3,0,1,0,11,1,0,3,0,2024-07-01
467,South Cambie,0,0,2,1,0,4,10,0,2,0,2024-07-01
468,Stanley Park,1,3,0,0,0,3,17,1,3,1,2024-07-01
469,Strathcona,9,68,13,22,8,30,57,3,46,23,2024-07-01
470,Sunset,2,7,0,6,3,17,60,2,10,3,2024-07-01
471,Victoria - Fraserview,2,7,0,8,7,12,14,1,9,1,2024-07-01
472,West End,8,40,3,7,5,39,124,0,24,8,2024-07-01
473,West Point Grey,0,4,1,0,2,8,9,0,2,0,2024-07-01
474,GRAND TOTAL,53,436,56,173,60,499,1237,24,433,113,2024-07-01
475,Arbutus Ridge,0,0,0,3,0,8,5,0,5,0,2024-08-01
476,Central Business District,15,170,30,43,13,184,479,10,172,44,2024-08-01
477,Dunbar - Southlands,2,4,0,5,1,2,5,0,8,0,2024-08-01
478,Fairview,2,10,2,8,2,18,69,3,15,1,2024-08-01
479,Grandview - Woodland,1,25,3,8,6,15,40,0,18,7,2024-08-01
480,Hastings - Sunrise,3,24,1,10,7,20,24,2,12,4,2024-08-01
481,Kensington - Cedar Cottage,5,17,5,9,6,13,35,4,13,1,2024-08-01
482,Kerrisdale,1,1,0,1,0,7,5,0,2,0,2024-08-01
483,Killarney,1,6,0,3,4,11,8,1,2,2,2024-08-01
484,Kitsilano,1,7,1,5,2,16,70,0,11,1,2024-08-01
485,Marpole,0,5,3,12,2,11,23,1,16,1,2024-08-01
486,Mount Pleasant,2,24,4,6,3,17,61,1,28,7,2024-08-01
487,Musqueam,1,3,0,0,0,1,0,0,0,0,2024-08-01
488,Oakridge,0,1,0,4,0,6,7,0,3,1,2024-08-01
489,Renfrew - Collingwood,3,10,0,10,6,12,166,0,13,1,2024-08-01
490,Riley Park,0,5,0,4,3,8,29,0,3,1,2024-08-01
491,Shaughnessy,0,1,0,8,1,4,5,0,4,0,2024-08-01
492,South Cambie,1,1,1,4,0,3,9,0,7,0,2024-08-01
493,Stanley Park,1,1,0,2,0,5,9,0,1,0,2024-08-01
494,Strathcona,5,67,11,22,11,26,60,5,34,17,2024-08-01
495,Sunset,1,6,1,5,3,7,67,1,5,1,2024-08-01
496,Victoria - Fraserview,0,5,0,2,2,10,13,0,4,0,2024-08-01
497,West End,1,34,5,13,1,61,118,2,20,5,2024-08-01
498,West Point Grey,0,6,0,3,1,1,5,0,0,0,2024-08-01
499,GRAND TOTAL,46,433,67,190,74,466,1312,30,396,94,2024-08-01
500,Arbutus Ridge,0,1,0,1,1,3,8,0,4,0,2024-09-01
501,Central Business District,14,140,25,32,6,172,466,6,179,47,2024-09-01
502,Dunbar - Southlands,0,2,0,4,0,10,10,0,7,0,2024-09-01
503,Fairview,4,14,3,8,2,14,77,1,10,4,2024-09-01
504,Grandview - Woodland,4,19,2,14,3,14,34,0,28,2,2024-09-01
505,Hastings - Sunrise,0,10,2,5,1,14,20,1,15,3,2024-09-01
506,Kensington - Cedar Cottage,1,12,4,8,2,23,56,1,12,3,2024-09-01
507,Kerrisdale,0,2,0,5,1,5,6,0,2,0,2024-09-01
508,Killarney,2,8,0,2,2,11,11,0,3,0,2024-09-01
509,Kitsilano,2,5,2,6,3,15,75,1,12,3,2024-09-01
510,Marpole,1,5,0,7,4,11,21,0,10,1,2024-09-01
511,Mount Pleasant,0,17,4,11,5,17,66,1,24,4,2024-09-01
512,Musqueam,0,0,0,0,0,0,0,0,1,0,2024-09-01
513,Oakridge,0,2,0,7,1,4,11,0,3,2,2024-09-01
514,Renfrew - Collingwood,3,11,3,10,6,13,88,0,19,2,2024-09-01
515,Riley Park,0,5,0,5,1,8,12,1,7,0,2024-09-01
516,Shaughnessy,2,1,0,4,0,5,2,0,2,0,2024-09-01
517,South Cambie,1,0,0,4,0,3,21,0,2,0,2024-09-01
518,Stanley Park,0,3,1,1,0,6,8,0,0,0,2024-09-01
519,Strathcona,4,55,8,7,3,26,44,3,33,24,2024-09-01
520,Sunset,4,6,0,5,6,10,58,1,5,0,2024-09-01
521,Victoria - Fraserview,1,1,1,3,1,7,17,0,1,0,2024-09-01
522,West End,5,27,1,15,3,31,112,0,19,1,2024-09-01
523,West Point Grey,0,2,0,0,0,3,5,0,3,0,2024-09-01
524,GRAND TOTAL,48,348,56,164,51,425,1228,16,401,96,2024-09-01
525,Arbutus Ridge,0,0,0,0,0,1,15,0,5,1,2024-10-01
526,Central Business District,7,158,29,38,11,124,423,6,142,47,2024-10-01
527,Dunbar - Southlands,0,1,0,1,0,4,15,0,0,0,2024-10-01
528,Fairview,2,14,1,11,1,20,52,1,16,1,2024-10-01
529,Grandview - Woodland,3,20,7,9,8,17,29,1,32,4,2024-10-01
530,Hastings - Sunrise,2,9,0,5,0,15,30,0,10,3,2024-10-01
531,Kensington - Cedar Cottage,1,22,3,6,5,10,38,2,19,1,2024-10-01
532,Kerrisdale,0,2,0,7,1,7,12,1,2,0,2024-10-01
533,Killarney,2,2,0,4,2,10,7,1,7,1,2024-10-01
534,Kitsilano,1,8,3,7,0,20,72,0,18,0,2024-10-01
535,Marpole,2,8,3,6,4,11,27,1,12,0,2024-10-01
536,Mount Pleasant,1,19,8,16,2,26,79,4,19,1,2024-10-01
537,Musqueam,0,1,0,0,0,0,0,0,0,0,2024-10-01
538,Oakridge,1,4,0,6,1,4,6,0,4,0,2024-10-01
539,Renfrew - Collingwood,5,14,5,12,4,13,141,0,15,1,2024-10-01
540,Riley Park,2,5,1,7,3,9,11,0,3,0,2024-10-01
541,Shaughnessy,1,1,0,7,1,3,5,0,4,0,2024-10-01
542,South Cambie,1,1,1,2,0,2,12,0,3,0,2024-10-01
543,Stanley Park,0,2,0,4,0,2,6,2,2,0,2024-10-01
544,Strathcona,6,55,4,15,5,24,51,2,45,14,2024-10-01
545,Sunset,4,7,2,5,10,10,51,0,9,0,2024-10-01
546,Victoria - Fraserview,3,5,0,2,1,18,19,0,5,1,2024-10-01
547,West End,2,31,3,13,3,24,78,0,31,2,2024-10-01
548,West Point Grey,0,0,1,3,0,0,5,0,4,0,2024-10-01
549,GRAND TOTAL,46,389,71,186,62,374,1184,21,407,77,2024-10-01
550,Arbutus Ridge,1,0,1,0,1,1,11,0,6,0,2024-11-01
551,Central Business District,8,130,19,44,4,142,586,4,151,44,2024-11-01
552,Dunbar - Southlands,0,1,0,2,0,9,5,0,5,0,2024-11-01
553,Fairview,3,7,3,8,3,13,39,0,10,2,2024-11-01
554,Grandview - Woodland,5,13,3,6,3,12,33,2,17,1,2024-11-01
555,Hastings - Sunrise,1,7,2,3,5,12,25,0,5,1,2024-11-01
556,Kensington - Cedar Cottage,0,11,1,15,7,16,29,1,13,2,2024-11-01
557,Kerrisdale,0,2,1,7,1,10,16,0,4,0,2024-11-01
558,Killarney,0,5,0,4,2,8,15,0,5,1,2024-11-01
559,Kitsilano,1,6,1,5,1,23,39,1,15,1,2024-11-01
560,Marpole,1,4,0,6,3,9,16,1,8,0,2024-11-01
561,Mount Pleasant,3,14,5,11,4,11,66,3,31,3,2024-11-01
562,Musqueam,0,2,0,0,1,0,0,0,0,0,2024-11-01
563,Oakridge,0,1,0,9,1,5,12,0,4,2,2024-11-01
564,Renfrew - Collingwood,4,10,2,3,5,10,99,1,10,0,2024-11-01
565,Riley Park,3,3,0,2,0,13,10,0,4,0,2024-11-01
566,Shaughnessy,0,0,0,5,0,14,3,0,2,1,2024-11-01
567,South Cambie,1,1,2,4,0,1,8,0,3,1,2024-11-01
568,Stanley Park,0,0,0,0,0,0,0,0,1,1,2024-11-01
569,Strathcona,3,43,4,5,0,20,63,3,21,17,2024-11-01
570,Sunset,3,6,1,3,3,13,38,0,6,1,2024-11-01
571,Victoria - Fraserview,1,6,0,3,6,10,12,0,3,0,2024-11-01
572,West End,3,29,2,10,3,36,82,0,23,2,2024-11-01
573,West Point Grey,0,0,1,2,1,3,6,0,0,0,2024-11-01
574,GRAND TOTAL,41,301,48,157,54,391,1213,16,347,80,2024-11-01
575,Arbutus Ridge,1,2,0,2,2,5,5,0,2,0,2024-12-01
576,Central Business District,14,156,32,26,10,193,401,5,179,48,2024-12-01
577,Dunbar - Southlands,0,2,0,3,0,0,2,0,8,0,2024-12-01
578,Fairview,1,6,0,13,2,18,54,0,16,0,2024-12-01
579,Grandview - Woodland,1,18,4,9,3,12,35,1,8,1,2024-12-01
580,Hastings - Sunrise,0,9,0,4,3,11,26,0,9,2,2024-12-01
581,Kensington - Cedar Cottage,3,13,4,9,4,17,25,2,16,0,2024-12-01
582,Kerrisdale,0,1,0,10,0,3,9,0,1,0,2024-12-01
583,Killarney,0,6,0,4,1,10,13,0,3,1,2024-12-01
584,Kitsilano,0,4,0,6,1,9,38,0,14,0,2024-12-01
585,Marpole,0,4,2,4,0,12,19,0,8,1,2024-12-01
586,Mount Pleasant,5,13,6,14,2,24,83,0,26,6,2024-12-01
587,Musqueam,0,0,0,1,0,1,0,0,0,0,2024-12-01
588,Oakridge,1,2,0,7,1,4,5,0,2,1,2024-12-01
589,Renfrew - Collingwood,3,10,0,7,4,5,112,0,28,0,2024-12-01
590,Riley Park,1,8,2,8,0,2,11,0,5,1,2024-12-01
591,Shaughnessy,0,1,0,4,0,7,4,0,4,0,2024-12-01
592,South Cambie,1,3,0,7,0,2,8,0,2,0,2024-12-01
593,Stanley Park,0,0,1,1,0,0,0,0,0,0,2024-12-01
594,Strathcona,0,57,6,8,7,20,49,3,44,4,2024-12-01
595,Sunset,2,9,1,3,7,10,45,1,14,2,2024-12-01
596,Victoria - Fraserview,0,6,0,3,2,7,15,0,5,2,2024-12-01
597,West End,2,28,4,16,5,46,80,0,25,2,2024-12-01
598,West Point Grey,0,1,0,1,2,3,7,0,2,0,2024-12-01
599,GRAND TOTAL,35,359,62,170,56,421,1046,12,421,71,2024-12-01
